Season,Name,Team,Age,playerid,Pos_Cat
1995,Greg Vaughn,MIL,29,1233,DH
2017,Kendrys Morales,TOR,34,8610,DH
2011,Vladimir Guerrero,BAL,36,778,DH
2007,Greg Norton,TBD,34,1388,DH
2012,Nick Johnson,BAL,33,828,DH
1993,Jim Walewander,CAL,31,1013506,DH
2018,Jose Rondon,CHW,24,14140,DH
2013,Josh Hamilton,LAA,32,1875,DH
2003,Jeremy Giambi,BOS,28,913,DH
2015,Jesus Aguilar,CLE,25,11342,DH
2008,Jose Guillen,KCR,32,57,DH
2022,Donovan Solano,CIN,34,8623,DH
2007,Juan Rivera,LAA,28,843,DH
2018,Joe Mauer,MIN,35,1857,DH
2006,Garret Anderson,LAA,34,2,DH
2004,Dave Hansen,- - -,35,1403,DH
1995,Michael Tucker,KCR,24,635,DH
1981,Larry Hisle,MIL,34,1005858,DH
1989,Rick Leach,TEX,32,1007426,DH
2016,Corey Dickerson,TBR,27,10762,DH
1986,Ron Washington,MIN,34,1013658,DH
1995,Chris James,- - -,32,1006347,DH
2015,David Murphy,- - -,33,6035,DH
1990,Tracy Jones,- - -,29,1006600,DH
2019,Miguel Cabrera,DET,36,1744,DH
1981,Champ Summers,DET,35,1012718,DH
1990,Glenallen Hill,TOR,25,1005820,DH
1982,Cliff Johnson,OAK,34,1006437,DH
2002,Ruben Sierra,SEA,36,1099,DH
2015,C.J. Cron,LAA,25,12546,DH
2005,Lew Ford,MIN,28,1724,DH
2017,Hanley Ramirez,BOS,33,8001,DH
1987,Gene Larkin,MIN,24,1007347,DH
2007,Mike Piazza,OAK,38,893,DH
2013,Seth Smith,OAK,30,7331,DH
2005,Matt Diaz,KCR,27,1771,DH
1989,Mel Hall,NYY,28,1005259,DH
2021,Yermin Mercedes,CHW,28,17423,DH
1990,George Bell,TOR,30,1000808,DH
1996,Wil Cordero,BOS,24,770,DH
1983,Dave Hostetler,TEX,27,1006044,DH
2020,Daniel Vogelbach,- - -,27,14130,DH
1986,Ben Oglivie,MIL,37,1009746,DH
2021,Eloy Jimenez,CHW,24,17484,DH
2022,Ketel Marte,ARI,28,13613,DH
2022,Charlie Blackmon,COL,35,7859,DH
1993,Bo Jackson,CHW,30,1006290,DH
2011,Russ Canzler,TBR,25,8265,DH
2015,Evan Gattis,HOU,28,11003,DH
1998,Paul Sorrento,TBD,32,1012282,DH
1984,Mickey Rivers,TEX,35,1011005,DH
2001,Frank Thomas,CHW,33,255,DH
2006,Kevin Barker,TOR,30,1019,DH
2004,Edgar Martinez,SEA,41,1086,DH
1998,Trey Beamon,DET,24,1000711,DH
1990,Larry Sheets,DET,30,1011852,DH
1987,Terry Harper,- - -,31,1005382,DH
2015,Steve Clevenger,BAL,29,9542,DH
2012,Adam Lind,TOR,28,8027,DH
1985,Andre Thornton,CLE,35,1013037,DH
1992,Kevin Maas,NYY,27,1007895,DH
2010,Juan Miranda,NYY,27,7783,DH
1989,Denny Gonzalez,CLE,25,1004830,DH
1984,Greg Luzinski,CHW,33,1007855,DH
1997,Phil Nevin,DET,26,1049,DH
1992,George Bell,CHW,32,1000808,DH
1984,Ricky Nelson,SEA,25,1009509,DH
2005,Garret Anderson,LAA,33,2,DH
1981,Paul Molitor,MIL,24,1009040,DH
2002,David Segui,BAL,35,169,DH
2018,Lucas Duda,- - -,32,2502,DH
1995,Dion James,NYY,32,1006349,DH
2014,Josmil Pinto,MIN,25,6806,DH
2001,Tony Fernandez,- - -,39,1004002,DH
2008,Tony Clark,- - -,36,182,DH
1989,Keith Moreland,- - -,35,1009161,DH
1997,David Dellucci,BAL,23,1402,DH
1998,Paul Molitor,MIN,41,1009040,DH
2004,Ruben Sierra,NYY,38,1099,DH
1984,Reggie Jackson,CAL,38,1006308,DH
2015,Jimmy Paredes,BAL,26,5481,DH
1996,Chip Hale,MIN,31,1005220,DH
2013,Delmon Young,- - -,27,2140,DH
1993,Sherman Obando,BAL,23,1009675,DH
2022,Jake Lamb,- - -,31,13329,DH
2000,Eric Byrnes,OAK,24,905,DH
1981,Rick Peters,DET,25,1010237,DH
2020,Phil Gosselin,PHI,31,10953,DH
2009,Hank Blalock,TEX,28,1419,DH
2011,Jorge Posada,NYY,39,841,DH
1994,Brian Harper,MIL,34,1005376,DH
1982,Lamar Johnson,TEX,31,1006481,DH
2013,Lance Berkman,TEX,37,548,DH
2002,Travis Hafner,TEX,25,1573,DH
1990,Steve Balboni,NYY,33,1000473,DH
1991,Carlos Martinez,CLE,25,1008158,DH
1988,Dave Clark,CLE,25,1002277,DH
2004,Carl Everett,- - -,33,1249,DH
2022,Trey Mancini,- - -,30,15149,DH
2008,David Dellucci,CLE,34,1402,DH
1990,Jim Lindeman,DET,28,1007618,DH
2013,Max Stassi,HOU,22,10059,DH
2020,Shin-Soo Choo,TEX,37,3174,DH
1989,Dave Clark,CLE,26,1002277,DH
1992,Jack Clark,BOS,36,1002288,DH
1998,Bip Roberts,- - -,34,1011023,DH
1987,Mike Easler,- - -,36,1003635,DH
1995,Chip Hale,MIN,30,1005220,DH
2015,Billy Butler,OAK,29,7399,DH
2022,Luke Voit,- - -,31,14811,DH
1988,Jim Eppard,CAL,28,1003796,DH
2021,Jed Lowrie,OAK,37,4418,DH
2021,Luis Torrens,SEA,25,15905,DH
1985,Oscar Gamble,CHW,35,1004473,DH
1997,Kevin Seitzer,CLE,35,1011730,DH
1994,Eddie Murray,CLE,38,1009386,DH
2013,Ryan Doumit,MIN,32,2113,DH
2016,Justin Morneau,CHW,35,1737,DH
1992,Julio Franco,TEX,33,87,DH
1991,Patrick Lennon,SEA,23,1007527,DH
2018,Evan Gattis,HOU,31,11003,DH
2007,Mike Sweeney,KCR,33,634,DH
1981,Lee May,KCR,38,1008303,DH
2014,Billy Butler,KCR,28,7399,DH
1993,Damon Buford,BAL,23,1001635,DH
1986,Gorman Thomas,- - -,35,1012979,DH
1992,Wayne Kirby,CLE,28,1006964,DH
1994,Andre Dawson,BOS,39,1003091,DH
1989,Beau Allred,CLE,24,1000171,DH
1985,Alan Bannister,TEX,33,1000515,DH
2017,Chris Young,BOS,33,3882,DH
2014,Carlos Beltran,NYY,37,589,DH
2018,Daniel Vogelbach,SEA,25,14130,DH
2010,Adam Lind,TOR,26,8027,DH
1988,Rick Leach,TOR,31,1007426,DH
1999,Scarborough Green,TEX,25,1005011,DH
2015,Richie Shaffer,TBR,24,13271,DH
1982,Bobby Murcer,NYY,36,1009338,DH
1989,Matt Nokes,DET,25,1009615,DH
1986,Ron Kittle,- - -,28,1006982,DH
1982,Jerry Turner,DET,28,1013228,DH
2022,Andrew McCutchen,MIL,35,9847,DH
2010,Kila Ka'aihue,KCR,26,4707,DH
2014,Nolan Reimold,- - -,30,3441,DH
1990,Mel Hall,NYY,29,1005259,DH
2011,Fernando Martinez,NYM,22,9210,DH
2020,Yoshi Tsutsugo,TBR,28,27459,DH
1985,Nelson Simmons,DET,22,1011984,DH
2008,Miguel Olivo,KCR,29,1638,DH
2018,Hanley Ramirez,BOS,34,8001,DH
1983,Jorge Orta,TOR,32,1009853,DH
1994,Dave Henderson,KCR,35,1005630,DH
2000,Mark Sweeney,MIL,30,1408,DH
2011,Jack Cust,SEA,32,1564,DH
2022,Mitch Garver,TEX,31,15161,DH
2012,Jason Giambi,COL,41,818,DH
2019,Rowdy Tellez,TOR,24,15679,DH
2022,Carlos Santana,- - -,36,2396,DH
2012,Luke Scott,TBR,34,3469,DH
2008,Randy Ruiz,MIN,30,2761,DH
1985,Dan Pasqua,NYY,23,1010044,DH
1990,John Russell,TEX,29,1011317,DH
1999,Jeff DaVanon,ANA,25,1440,DH
2005,Jason Botts,TEX,24,2907,DH
2003,Kevin Witt,DET,27,362,DH
1993,Scott Livingstone,DET,27,1007677,DH
1987,Reggie Jackson,OAK,41,1006308,DH
1981,Andre Thornton,CLE,31,1013037,DH
2011,Hideki Matsui,OAK,37,1659,DH
1999,Anthony Sanders,TOR,25,1011412,DH
1988,Terry Francona,CLE,29,1004292,DH
1984,Willie Aikens,TOR,29,1000090,DH
2003,Ernie Young,DET,33,79,DH
1985,Jorge Orta,KCR,34,1009853,DH
1993,Kevin Reimer,MIL,29,1010807,DH
1991,Tracy Jones,SEA,30,1006600,DH
1980,Lee May,BAL,37,1008303,DH
2009,Nomar Garciaparra,OAK,35,190,DH
1987,Jim Eisenreich,KCR,28,1003719,DH
1985,Alejandro Sanchez,DET,26,1011404,DH
1988,Don Baylor,OAK,39,1000700,DH
2014,Dan Johnson,TOR,34,2167,DH
1985,Mike Stenhouse,MIN,27,1012483,DH
2000,Todd Greene,TOR,29,1450,DH
1993,Dave Henderson,OAK,34,1005630,DH
1980,Dick Davis,MIL,26,1003046,DH
2009,Mike Jacobs,KCR,28,2231,DH
1998,Domingo Cedeno,TEX,29,1002101,DH
2022,Jackson Frazier,CHC,27,15983,DH
2012,Delmon Young,DET,26,2140,DH
1997,Pat Kelly,NYY,29,1006812,DH
1982,Otto Velez,TOR,31,1013399,DH
2003,Todd Sears,- - -,27,1645,DH
1986,Cecil Cooper,MIL,36,1002592,DH
2021,Miguel Cabrera,DET,38,1744,DH
1980,Mark Brouhard,MIL,24,1001484,DH
1999,Todd Greene,ANA,28,1450,DH
2007,Jeff Cirillo,- - -,37,1073,DH
1985,Willie Aikens,TOR,30,1000090,DH
2007,Russ Adams,TOR,26,4519,DH
1985,Barbaro Garbey,DET,28,1004491,DH
2009,Pat Burrell,TBR,32,949,DH
2002,Carlos Baerga,BOS,33,175,DH
2018,Pedro Alvarez,BAL,31,2495,DH
1992,Luis Polonia,CAL,28,1010427,DH
2012,Kila Ka'aihue,OAK,28,4707,DH
2005,Jeff DaVanon,LAA,31,1440,DH
1980,Danny Walton,TEX,32,1013592,DH
1989,Jerry Hairston,CHW,37,1005210,DH
1990,Gerald Perry,KCR,29,1010211,DH
1982,Tony Johnson,TOR,26,1006509,DH
1990,Matt Nokes,- - -,26,1009615,DH
2009,Kevin Millar,TOR,37,529,DH
2005,Scott Hatteberg,OAK,35,916,DH
2009,Aubrey Huff,- - -,32,1213,DH
2020,Zach McKinstry,LAD,25,19392,DH
2017,Victor Martinez,DET,38,393,DH
1987,Juan Beniquez,- - -,37,1000833,DH
2007,J.J. Furmaniak,OAK,27,3054,DH
2008,Eric Chavez,OAK,30,906,DH
2022,Pedro Severino,MIL,28,14523,DH
2006,Dmitri Young,DET,32,505,DH
2008,Jeff Larish,DET,25,5128,DH
1983,Benny Ayala,BAL,32,1000383,DH
2013,Travis Hafner,NYY,36,1573,DH
1986,Mickey Hatcher,MIN,31,1005488,DH
2010,Hank Blalock,TBR,29,1419,DH
2007,Jason Botts,TEX,26,2907,DH
2016,Avisail Garcia,CHW,25,5760,DH
1987,Steve Balboni,KCR,30,1000473,DH
1999,Pat Borders,- - -,36,1068,DH
2010,Mark Kotsay,CHW,34,1042,DH
2022,Yermin Mercedes,SFG,29,17423,DH
2021,Willie Calhoun,TEX,26,17838,DH
1997,Bubba Trammell,DET,25,1057,DH
1996,Ruben Sierra,- - -,30,1099,DH
2017,Brandon Moss,KCR,33,4467,DH
1993,Reggie Jefferson,CLE,24,1006381,DH
1989,Joey Meyer,MIL,27,1008829,DH
2006,Terry Tiffee,MIN,27,2160,DH
2021,Yohel Pozo,TEX,24,18848,DH
2000,Damian Rolls,TBD,22,1222,DH
2021,Mitch Moreland,OAK,35,3086,DH
1981,Kent Hrbek,MIN,21,1006117,DH
2014,Zach Walters,- - -,24,10622,DH
1998,Ruben Sierra,CHW,32,1099,DH
2018,Albert Pujols,LAA,38,1177,DH
2010,Mike Lowell,BOS,36,527,DH
2010,Esteban German,TEX,32,1449,DH
2005,Erubiel Durazo,OAK,30,1413,DH
1990,Paul Sorrento,MIN,24,1012282,DH
1992,Alvin Davis,CAL,31,1003033,DH
2002,Dee Brown,KCR,24,593,DH
1997,Pete Incaviglia,- - -,33,1006257,DH
2004,Herbert Perry,TEX,34,1270,DH
2000,Marty Cordova,TOR,30,132,DH
2002,Mark Quinn,KCR,28,621,DH
2013,Paul Konerko,CHW,37,242,DH
2013,Carlos Pena,- - -,35,934,DH
2006,Javy Lopez,- - -,35,103,DH
1987,Bill Buckner,- - -,37,1001625,DH
2022,Marcell Ozuna,ATL,31,10324,DH
2006,Kevin Kouzmanoff,CLE,24,5995,DH
2020,Howie Kendrick,WSN,36,4229,DH
1980,Don Baylor,CAL,31,1000700,DH
1984,Randy Bush,MIN,25,1001756,DH
1986,Dave Kingman,OAK,37,1006939,DH
1997,Curtis Pride,- - -,28,1762,DH
2005,Alejandro Freire,BAL,30,8588,DH
2020,Joc Pederson,LAD,28,11899,DH
1989,Albert Belle,CLE,22,1000802,DH
2020,Jay Bruce,PHI,33,9892,DH
2011,Russell Branyan,- - -,35,370,DH
2004,Eric Crozier,TOR,25,3011,DH
2017,Matt Davidson,CHW,26,7226,DH
2020,Victor Caratini,CHC,26,14968,DH
2012,Michael Young,TEX,35,1286,DH
2017,Rickie Weeks Jr.,TBR,34,1849,DH
2008,Kevin Mench,TOR,30,1261,DH
2005,Jeff Mathis,LAA,22,3448,DH
2002,Jose Offerman,- - -,33,205,DH
1981,Pat Kelly,CLE,36,1006810,DH
1983,Mickey Rivers,TEX,34,1011005,DH
1986,Hal McRae,KCR,40,1008687,DH
2019,Jake Bauers,CLE,23,15194,DH
2011,David Cooper,TOR,24,7752,DH
1983,Mitchell Page,OAK,31,1009954,DH
2002,Chris Richard,BAL,28,163,DH
2022,Shea Langeliers,OAK,24,25816,DH
2012,Jesus Montero,SEA,22,5514,DH
1997,Joe Carter,TOR,37,1002018,DH
2009,Tyler Flowers,CHW,23,9134,DH
2017,Tyler Austin,NYY,25,11850,DH
1990,Jeffrey Leonard,SEA,34,1007535,DH
2017,Mark Trumbo,BAL,31,6876,DH
2008,Craig Monroe,MIN,31,1464,DH
1989,Pat Tabler,KCR,31,1012806,DH
1988,Larry Herndon,DET,34,1005717,DH
1989,Mike Stanley,TEX,26,1012416,DH
1984,Mitch Webster,TOR,25,1013719,DH
1994,Andy Tomberlin,BOS,27,1013108,DH
2010,Willy Aybar,TBR,27,2192,DH
1987,Thad Bosley,KCR,30,1001214,DH
2022,Pavin Smith,ARI,26,19892,DH
2016,Byung-ho Park,MIN,29,18497,DH
2001,Olmedo Saenz,OAK,30,937,DH
2008,Jonny Gomes,TBR,27,1845,DH
1991,Pete Incaviglia,DET,27,1006257,DH
1992,Randy Ready,OAK,32,1010738,DH
2005,Sammy Sosa,BAL,36,302,DH
1982,Roy Howell,MIL,28,1006104,DH
2020,Matt Carpenter,STL,34,8090,DH
1992,Pete O'Brien,SEA,34,1009700,DH
1991,Dave Parker,- - -,40,1010000,DH
2008,Jeff Clement,SEA,24,4652,DH
1989,Rance Mulliniks,TOR,33,1009309,DH
1982,Jesus Vega,MIN,26,1013393,DH
1988,Larry Sheets,BAL,28,1011852,DH
2006,Jason Botts,TEX,25,2907,DH
1980,Willie Horton,SEA,37,1006038,DH
2020,Austin Meadows,TBR,25,15672,DH
2022,Nelson Cruz,WSN,41,2434,DH
1999,Midre Cummings,MIN,27,1927,DH
1989,Mark Salas,CLE,28,1011376,DH
2022,Nick Solak,TEX,27,19294,DH
2013,Jason Giambi,CLE,42,818,DH
2022,Darin Ruf,- - -,35,9929,DH
1987,Gary Matthews,- - -,36,1008255,DH
2013,Chris Dickerson,BAL,31,7095,DH
1980,Gary Alexander,CLE,27,1000123,DH
2011,Wily Mo Pena,- - -,29,344,DH
2005,Adam Melhuse,OAK,33,294,DH
2021,Pablo Sandoval,ATL,34,5409,DH
2022,Gary Sanchez,MIN,29,11442,DH
1989,Larry Sheets,BAL,29,1011852,DH
1999,Tim Unroe,ANA,28,1013284,DH
2020,Shohei Ohtani,LAA,25,19755,DH
2020,J.D. Martinez,BOS,32,6184,DH
1987,Cecil Cooper,MIL,37,1002592,DH
1986,Rob Nelson,OAK,22,1009512,DH
2019,Khris Davis,OAK,31,9112,DH
2004,Carlos Baerga,ARI,35,175,DH
1987,Pete Stanicek,BAL,24,1012402,DH
2001,Casey Blake,- - -,27,719,DH
2003,Justin Morneau,MIN,22,1737,DH
1987,Jerry Willard,OAK,27,1013963,DH
1991,John Ramos,NYY,25,1010679,DH
2006,Carl Everett,SEA,35,1249,DH
2022,Jesus Aguilar,- - -,32,11342,DH
2006,Jason Kubel,MIN,24,2161,DH
2003,Al Martin,TBD,35,1167,DH
2005,Chad Allen,TEX,30,122,DH
1982,Glenn Adams,TOR,34,1000052,DH
2014,Mitch Moreland,TEX,28,3086,DH
2021,Renato Nunez,DET,27,14503,DH
2020,Jose Marmolejos,SEA,27,15767,DH
2005,Brian Daubach,NYM,33,186,DH
1990,Donell Nixon,BAL,28,1009607,DH
1999,Geronimo Berroa,TOR,34,1000900,DH
2005,Adrian Gonzalez,TEX,23,1908,DH
2019,Welington Castillo,CHW,32,3256,DH
1982,Dave Revering,- - -,29,1010855,DH
1999,Willie Greene,TOR,27,1005015,DH
2020,Josh Bell,PIT,27,13145,DH
2015,Victor Martinez,DET,36,393,DH
2010,Milton Bradley,SEA,32,369,DH
1997,Ivan Cruz,NYY,29,1596,DH
2017,Albert Pujols,LAA,37,1177,DH
2001,Nick Johnson,NYY,22,828,DH
2022,Mike Moustakas,CIN,33,4892,DH
1992,Rich Rowland,DET,28,1011262,DH
1985,Ellis Valentine,TEX,30,1013326,DH
2001,Orlando Palmeiro,ANA,32,28,DH
2015,Nick Swisher,- - -,34,4599,DH
2019,Zack Collins,CHW,24,19181,DH
1996,Luis Polonia,- - -,32,1010427,DH
1983,Reggie Jackson,CAL,37,1006308,DH
1998,Frank Bolick,ANA,32,1001145,DH
1982,Wayne Nordhagen,- - -,33,1009626,DH
1987,Ron Hassey,CHW,34,1005479,DH
1985,Al Oliver,- - -,38,1009773,DH
1998,Geronimo Berroa,- - -,33,1000900,DH
1994,Lonnie Smith,BAL,38,1012176,DH
2020,Khris Davis,OAK,32,9112,DH
2008,Tug Hulett,SEA,25,7451,DH
2020,Tommy Pham,SDP,32,2967,DH
1980,Butch Hobson,BOS,28,1005872,DH
1993,Ernest Riles,BOS,32,1010964,DH
1991,Alvin Davis,SEA,30,1003033,DH
2017,Carlos Beltran,HOU,40,589,DH
2018,Logan Morrison,MIN,30,9205,DH
1998,Terry Pendleton,KCR,37,1010157,DH
1981,Jose Morales,BAL,36,1009139,DH
2021,Taylor Jones,HOU,27,19533,DH
1989,Paul Sorrento,MIN,23,1012282,DH
2015,Adam LaRoche,CHW,35,1904,DH
2010,Jake Fox,- - -,27,6267,DH
1999,Russell Branyan,CLE,23,370,DH
2014,Jesus Montero,SEA,24,5514,DH
1983,Larry Biittner,TEX,37,1000962,DH
2004,Chris Shelton,DET,24,1891,DH
1989,Greg Walker,CHW,29,1013520,DH
2011,Adam Loewen,TOR,27,2134,DH
1989,Luis Medina,CLE,26,1008715,DH
1999,Jon Nunnally,BOS,27,1009660,DH
2020,Albert Pujols,LAA,40,1177,DH
1988,Larry Parrish,- - -,34,1010020,DH
1993,Carlos Martinez,CLE,27,1008158,DH
1982,Jose Moreno,CAL,24,1009164,DH
1991,Mookie Wilson,TOR,35,1014096,DH
2000,Lance Johnson,NYY,36,1006482,DH
2013,Brandon Laird,HOU,25,5476,DH
2018,Victor Martinez,DET,39,393,DH
2013,Jim Adduci,TEX,28,6448,DH
2004,Tim Salmon,ANA,35,32,DH
1990,Billy Jo Robidoux,BOS,26,1011051,DH
1989,Thad Bosley,TEX,32,1001214,DH
2018,Sam Travis,BOS,24,16263,DH
1980,Willie Upshaw,TOR,23,1013293,DH
2022,Mike Ford,- - -,29,15585,DH
2019,Logan Morrison,PHI,31,9205,DH
2002,Luis Ugueto,SEA,23,1400,DH
2020,Matt Beaty,LAD,27,17710,DH
2004,Eduardo Perez,TBD,34,1409,DH
2022,Franmil Reyes,- - -,26,14566,DH
2013,Shelley Duncan,TBR,33,3620,DH
1989,Jim Rice,BOS,36,1010897,DH
2013,Marc Krauss,HOU,25,7577,DH
1980,John Poff,MIL,27,1010411,DH
2006,Jason Phillips,TOR,29,892,DH
1982,Dan Meyer,OAK,29,1008824,DH
2020,Tim Lopes,SEA,26,14137,DH
2006,Adam Melhuse,OAK,34,294,DH
1982,Danny Goodwin,OAK,28,1004864,DH
1988,Jim Adduci,MIL,28,1000069,DH
1982,Dave Engle,MIN,25,1003781,DH
1997,Kevin Mitchell,CLE,35,1009004,DH
1998,Kevin Mitchell,OAK,36,1009004,DH
1984,Benny Ayala,BAL,33,1000383,DH
1990,Matt Stark,CHW,25,1012429,DH
1991,Mike Humphreys,NYY,24,1006187,DH
2022,Frank Schwindel,CHC,30,15351,DH
2019,Hanley Ramirez,CLE,35,8001,DH
1991,Mike Marshall,- - -,31,1008145,DH
2019,Yonder Alonso,- - -,32,2530,DH
2022,Tommy La Stella,SFG,33,12371,DH
2017,Renato Nunez,OAK,23,14503,DH
1981,Joe Charboneau,CLE,26,1002156,DH
2008,Travis Hafner,CLE,31,1573,DH
1980,Orlando Gonzalez,OAK,28,1004842,DH
2016,Prince Fielder,TEX,32,4613,DH
2020,Eric Thames,WSN,33,3711,DH
2004,Jeff Liefer,MIL,29,245,DH
2006,Rondell White,MIN,34,856,DH
2018,Rob Refsnyder,TBR,27,13770,DH
2005,Ken Harvey,KCR,27,604,DH
2022,Miguel Cabrera,DET,39,1744,DH
1983,Broderick Perkins,CLE,28,1010190,DH
2010,Nolan Reimold,BAL,26,3441,DH
2015,Kennys Vargas,MIN,24,12101,DH
1990,Phil Plantier,BOS,21,1010388,DH
1983,Bobby Murcer,NYY,37,1009338,DH
2007,Rocco Baldelli,TBD,25,1656,DH
1995,Chris Sabo,- - -,33,1011357,DH
2021,Ryan O'Hearn,KCR,27,16442,DH
2021,Khris Davis,- - -,33,9112,DH
2020,Miguel Andujar,NYY,25,15878,DH
2005,Eric Munson,TBD,27,481,DH
1980,John Ellis,TEX,31,1003750,DH
1985,Len Matuszek,- - -,30,1008269,DH
2004,Brian Jordan,TEX,37,658,DH
2002,Greg Vaughn,TBD,36,1233,DH
2014,Nick Swisher,CLE,33,4599,DH
1984,Dan Ford,BAL,32,1004216,DH
1996,Kevin Brown,TEX,23,178,DH
2005,Ruben Sierra,NYY,39,1099,DH
1986,Andre David,MIN,28,1003022,DH
1999,Gabe Alvarez,DET,25,1000194,DH
2021,Ryan McBroom,KCR,29,16524,DH
1982,Mickey Hatcher,MIN,27,1005488,DH
2000,Jim Leyritz,- - -,36,1007590,DH
1997,Marc Newfield,MIL,24,1009533,DH
2007,Jay Gibbons,BAL,30,141,DH
1999,Calvin Pickering,BAL,22,208,DH
2010,Brent Lillibridge,CHW,26,3501,DH
1983,Karl Pagel,CLE,28,1009952,DH
2022,Ryan O'Hearn,KCR,28,16442,DH
2020,Edwin Encarnacion,CHW,37,2151,DH
1980,Danny Goodwin,MIN,26,1004864,DH
1987,Johnny Grubb,DET,38,1005103,DH
1997,Sean Casey,CLE,22,314,DH
1988,Bill Buckner,- - -,38,1001625,DH
1998,Andy Tomberlin,DET,31,1013108,DH
2014,Kendrys Morales,- - -,31,8610,DH
1995,Bob Hamelin,KCR,27,1005269,DH
2014,J.P. Arencibia,TEX,28,697,DH
1994,Daryl Boston,NYY,31,1001219,DH
1993,Lee Tinsley,SEA,24,1013077,DH
1998,Juan Samuel,TOR,37,1011400,DH
1997,Eddie Murray,- - -,41,1009386,DH
1983,Bob Jones,TEX,33,1006531,DH
1991,Pat Tabler,TOR,33,1012806,DH
1981,Willie Upshaw,TOR,24,1013293,DH
1991,Rich Rowland,DET,27,1011262,DH
2008,Jose Vidro,SEA,33,802,DH
2010,Rocco Baldelli,TBR,28,1656,DH
1990,Jim Dwyer,MIN,40,1003608,DH
1981,Charlie Beamon,TOR,27,1000710,DH
2008,Robinzon Diaz,- - -,24,3248,DH
2010,Eric Chavez,OAK,32,906,DH
2012,Lew Ford,BAL,35,1724,DH
1983,Casey Parsons,CHW,29,1010027,DH
1980,Doug Ault,TOR,30,1000368,DH
2020,Matt Davidson,CIN,29,7226,DH
1993,Steve Sax,CHW,33,1011481,DH
